tractcode,state,sta,county,countyname,tract,hhuniv,estimated_number_foreclosures,estimated_number_mortgages,estimated_foreclosure_rate,total_90_day_vacant_residential_addresses,total_residential_addresses,estimated_90_day_vacancy_rate,total_hicost_2004_to_2006_HMDA_loans,total_2004_to_2006_HMDA_loans,estimated_hicost_loan_rate,bls_unemployment_rate,ofheo_price_change
51155210300,51,VA,155,Pulaski County,210300,"2,081",30,502,6.0%,108,"2,047",5.3%,109,331,32.9%,8.5%,0.0%
51155210400,51,VA,155,Pulaski County,210400,"2,234",24,470,5.1%,90,"2,187",4.1%,82,310,26.5%,8.5%,0.0%
51155210500,51,VA,155,Pulaski County,210500,"1,085",9,291,3.1%,2,"1,062",0.2%,26,192,13.5%,8.5%,0.0%
51155210600,51,VA,155,Pulaski County,210600,"1,557",14,348,4.0%,25,"1,412",1.8%,43,229,18.8%,8.5%,0.0%
51155210700,51,VA,155,Pulaski County,210700,"1,543",23,401,5.7%,7,"1,553",0.5%,82,264,31.1%,8.5%,0.0%
51157990100,51,VA,157,Rappahannock County,990100,"1,032",11,508,2.2%,0,876,0.0%,68,335,20.3%,3.6%,0.0%
51157990200,51,VA,157,Rappahannock County,990200,"1,764",15,906,1.7%,0,"1,831",0.0%,96,597,16.1%,3.6%,0.0%
51159990100,51,VA,159,Richmond County,990100,"1,964",20,387,5.2%,0,"1,731",0.0%,89,255,34.9%,5.4%,0.0%
51159990200,51,VA,159,Richmond County,990200,958,13,226,5.8%,0,842,0.0%,57,149,38.3%,5.4%,0.0%
51161030100,51,VA,161,Roanoke County,030100,"1,392",17,596,2.9%,28,"1,671",1.7%,96,393,24.4%,3.4%,0.0%
51161030201,51,VA,161,Roanoke County,030201,"1,632",33,"1,015",3.3%,15,"1,863",0.8%,182,669,27.2%,3.4%,0.0%
51161030203,51,VA,161,Roanoke County,030203,"1,213",11,694,1.6%,21,"1,427",1.5%,72,457,15.8%,3.4%,0.0%
51161030204,51,VA,161,Roanoke County,030204,"2,988",29,948,3.1%,67,"3,155",2.1%,163,625,26.1%,3.4%,0.0%
51161030205,51,VA,161,Roanoke County,030205,"1,457",12,798,1.5%,11,"1,742",0.6%,81,526,15.4%,3.4%,0.0%
51161030300,51,VA,161,Roanoke County,030300,"2,395",27,"1,249",2.2%,8,"2,834",0.3%,164,823,19.9%,3.4%,0.0%
51161030500,51,VA,161,Roanoke County,030500,"1,038",6,473,1.3%,6,"1,117",0.5%,44,312,14.1%,3.4%,0.0%
51161030600,51,VA,161,Roanoke County,030600,"2,315",12,"1,464",0.8%,10,"2,767",0.4%,108,965,11.2%,3.4%,0.0%
51161030701,51,VA,161,Roanoke County,030701,"2,481",10,"1,298",0.8%,62,"2,745",2.3%,93,855,10.9%,3.4%,0.0%
51161030702,51,VA,161,Roanoke County,030702,"2,507",11,721,1.5%,92,"2,791",3.3%,75,475,15.8%,3.4%,0.0%
51161030801,51,VA,161,Roanoke County,030801,"2,634",13,548,2.4%,86,"2,871",3.0%,77,361,21.3%,3.4%,0.0%
51161030802,51,VA,161,Roanoke County,030802,"1,993",19,"1,018",1.9%,46,"2,140",2.1%,122,671,18.2%,3.4%,0.0%
51161030900,51,VA,161,Roanoke County,030900,"2,477",11,962,1.1%,37,"2,761",1.3%,82,634,12.9%,3.4%,0.0%
51161031000,51,VA,161,Roanoke County,031000,"1,545",20,690,2.9%,5,"1,659",0.3%,114,455,25.1%,3.4%,0.0%
51161031100,51,VA,161,Roanoke County,031100,"3,330",37,"1,137",3.3%,79,"3,637",2.2%,204,749,27.2%,3.4%,0.0%
51161031200,51,VA,161,Roanoke County,031200,"3,337",32,"2,258",1.4%,16,"4,249",0.4%,226,"1,488",15.2%,3.4%,0.0%
51163990100,51,VA,163,Rockbridge County,990100,"2,669",15,791,1.9%,0,"3,051",0.0%,85,521,16.3%,4.1%,0.0%
51163990200,51,VA,163,Rockbridge County,990200,"1,807",11,584,1.9%,0,"1,641",0.0%,65,385,16.9%,4.1%,0.0%
51163990300,51,VA,163,Rockbridge County,990300,"2,363",13,830,1.6%,0,"2,599",0.0%,79,547,14.4%,4.1%,0.0%
51163990400,51,VA,163,Rockbridge County,990400,"1,608",14,443,3.2%,0,"1,165",0.0%,73,292,25.0%,4.1%,0.0%
51165010100,51,VA,165,Rockingham County,010100,"1,160",8,349,2.3%,0,"1,229",0.0%,48,230,20.9%,3.5%,0.0%
51165010200,51,VA,165,Rockingham County,010200,"1,540",15,426,3.5%,45,"1,586",2.8%,81,281,28.8%,3.5%,0.0%
51165010300,51,VA,165,Rockingham County,010300,"1,682",15,988,1.5%,0,"1,984",0.0%,104,651,16.0%,3.5%,0.0%
51165010400,51,VA,165,Rockingham County,010400,906,7,323,2.2%,0,941,0.0%,42,213,19.7%,3.5%,0.0%
51165010500,51,VA,165,Rockingham County,010500,827,3,182,1.6%,0,974,0.0%,21,120,17.5%,3.5%,0.0%
51165010600,51,VA,165,Rockingham County,010600,"1,278",8,455,1.8%,0,"1,305",0.0%,50,300,16.7%,3.5%,0.0%
51165010700,51,VA,165,Rockingham County,010700,975,7,451,1.6%,0,"1,194",0.0%,49,297,16.5%,3.5%,0.0%
51165010800,51,VA,165,Rockingham County,010800,"2,083",17,"1,017",1.7%,0,"2,387",0.0%,111,670,16.6%,3.5%,0.0%
51165010900,51,VA,165,Rockingham County,010900,922,10,375,2.7%,0,811,0.0%,56,247,22.7%,3.5%,0.0%
51165011000,51,VA,165,Rockingham County,011000,"1,183",10,355,2.8%,1,"1,224",0.1%,59,234,25.2%,3.5%,0.0%
51165011100,51,VA,165,Rockingham County,011100,"1,167",7,387,1.8%,0,"1,097",0.0%,47,255,18.4%,3.5%,0.0%
51165011200,51,VA,165,Rockingham County,011200,"1,632",13,551,2.4%,0,"1,759",0.0%,76,363,20.9%,3.5%,0.0%
51165011400,51,VA,165,Rockingham County,011400,"1,681",6,592,1.0%,0,"1,654",0.0%,47,390,12.1%,3.5%,0.0%
51165011500,51,VA,165,Rockingham County,011500,"1,864",7,627,1.1%,16,"2,097",0.8%,52,413,12.6%,3.5%,0.0%
51165011600,51,VA,165,Rockingham County,011600,659,1,270,0.4%,0,715,0.0%,16,178,9.0%,3.5%,0.0%
51165011700,51,VA,165,Rockingham County,011700,"1,150",6,452,1.3%,0,"1,476",0.0%,41,298,13.8%,3.5%,0.0%
51165011800,51,VA,165,Rockingham County,011800,"1,943",11,"1,260",0.9%,0,"2,619",0.0%,94,830,11.3%,3.5%,0.0%
51165011900,51,VA,165,Rockingham County,011900,908,10,502,2.0%,0,"1,157",0.0%,62,331,18.7%,3.5%,0.0%
51165012000,51,VA,165,Rockingham County,012000,"1,792",22,775,2.8%,0,"1,764",0.0%,125,511,24.5%,3.5%,0.0%
51167990100,51,VA,167,Russell County,990100,"2,107",7,144,4.9%,0,640,0.0%,29,95,30.5%,6.1%,0.0%
51167990200,51,VA,167,Russell County,990200,"2,304",13,243,5.3%,62,"1,553",4.0%,54,160,33.8%,6.1%,0.0%
51167990300,51,VA,167,Russell County,990300,"1,610",5,91,5.5%,5,"1,643",0.3%,19,60,31.7%,6.1%,0.0%
51167990400,51,VA,167,Russell County,990400,"3,293",31,744,4.2%,50,"2,128",2.3%,131,490,26.7%,6.1%,0.0%
51167990500,51,VA,167,Russell County,990500,914,13,231,5.6%,6,"1,138",0.5%,57,152,37.5%,6.1%,0.0%
51167990600,51,VA,167,Russell County,990600,"1,538",16,264,6.1%,0,3,0.0%,69,174,39.7%,6.1%,0.0%
51169030100,51,VA,169,Scott County,030100,"1,619",21,454,4.6%,0,"3,023",0.0%,90,299,30.1%,6.0%,0.0%
51169030200,51,VA,169,Scott County,030200,"1,611",11,220,5.0%,0,"2,040",0.0%,47,145,32.4%,6.0%,0.0%
51169030300,51,VA,169,Scott County,030300,"1,562",7,91,7.7%,3,848,0.4%,28,60,46.7%,6.0%,0.0%
51169030400,51,VA,169,Scott County,030400,"1,636",9,176,5.1%,0,898,0.0%,37,116,31.9%,6.0%,0.0%
51169030500,51,VA,169,Scott County,030500,"1,710",4,102,3.9%,0,735,0.0%,19,67,28.4%,6.0%,0.0%
51169030600,51,VA,169,Scott County,030600,"1,713",8,247,3.2%,0,"1,284",0.0%,33,163,20.2%,6.0%,0.0%
51171040100,51,VA,171,Shenandoah County,040100,"2,643",67,"2,178",3.1%,39,"3,641",1.1%,323,"1,435",22.5%,4.9%,0.0%
51171040200,51,VA,171,Shenandoah County,040200,"2,078",30,"1,185",2.5%,0,"2,081",0.0%,148,781,19.0%,4.9%,0.0%
51171040300,51,VA,171,Shenandoah County,040300,"1,271",25,824,3.0%,0,"1,400",0.0%,120,543,22.1%,4.9%,0.0%
51171040400,51,VA,171,Shenandoah County,040400,797,13,530,2.5%,0,"1,078",0.0%,65,349,18.6%,4.9%,0.0%
51171040500,51,VA,171,Shenandoah County,040500,"2,980",40,"1,358",2.9%,51,"3,626",1.4%,194,895,21.7%,4.9%,0.0%
51171040600,51,VA,171,Shenandoah County,040600,"1,285",20,631,3.2%,0,"1,371",0.0%,96,416,23.1%,4.9%,0.0%
51171040700,51,VA,171,Shenandoah County,040700,"1,572",22,557,3.9%,0,"1,481",0.0%,102,367,27.8%,4.9%,0.0%
51171040800,51,VA,171,Shenandoah County,040800,"1,658",18,672,2.7%,0,"1,549",0.0%,87,443,19.6%,4.9%,0.0%
51173990100,51,VA,173,Smyth County,990100,"1,391",8,229,3.5%,0,"1,330",0.0%,33,151,21.9%,5.8%,0.0%
51173990200,51,VA,173,Smyth County,990200,"2,057",17,452,3.8%,1,"1,424",0.1%,72,298,24.2%,5.8%,0.0%
51173990300,51,VA,173,Smyth County,990300,"3,074",18,666,2.7%,96,"2,996",3.2%,78,439,17.8%,5.8%,0.0%
51173990400,51,VA,173,Smyth County,990400,869,3,126,2.4%,0,765,0.0%,14,83,16.9%,5.8%,0.0%
51173990500,51,VA,173,Smyth County,990500,989,7,214,3.3%,16,"1,004",1.6%,32,141,22.7%,5.8%,0.0%
51173990600,51,VA,173,Smyth County,990600,"1,521",9,228,3.9%,114,"1,564",7.3%,38,150,25.3%,5.8%,0.0%
51173990700,51,VA,173,Smyth County,990700,"3,596",33,853,3.9%,4,"2,988",0.1%,145,562,25.8%,5.8%,0.0%
51175200100,51,VA,175,Southampton County,200100,"1,431",19,455,4.2%,0,"1,471",0.0%,86,300,28.7%,5.3%,0.0%
51175200200,51,VA,175,Southampton County,200200,"1,074",15,296,5.1%,0,"1,046",0.0%,66,195,33.8%,5.3%,0.0%
51175200300,51,VA,175,Southampton County,200300,1,0,0,"-179,769,313,486,232,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000.0%",0,4,0.0%,0,0,"-179,769,313,486,232,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000.0%",5.3%,0.0%
51175200400,51,VA,175,Southampton County,200400,"2,309",33,690,4.8%,0,"2,423",0.0%,151,455,33.2%,5.3%,0.0%
51175200500,51,VA,175,Southampton County,200500,"1,484",26,382,6.8%,0,"1,175",0.0%,117,252,46.4%,5.3%,0.0%
51177020101,51,VA,177,Spotsylvania County,020101,"2,104",83,"2,478",3.3%,5,"2,827",0.2%,322,"1,633",19.7%,3.6%,-9.1%
51177020102,51,VA,177,Spotsylvania County,020102,"2,811",112,"2,788",4.0%,31,"3,474",0.9%,443,"1,837",24.1%,3.6%,-9.1%
51177020103,51,VA,177,Spotsylvania County,020103,"3,969",332,"7,723",4.3%,0,"6,384",0.0%,"1,328","5,089",26.1%,3.6%,-9.1%
51177020104,51,VA,177,Spotsylvania County,020104,863,47,"1,557",3.0%,0,"1,463",0.0%,178,"1,026",17.3%,3.6%,-9.1%
51177020200,51,VA,177,Spotsylvania County,020200,"5,978",349,"9,017",3.9%,24,"8,695",0.3%,"1,380","5,942",23.2%,3.6%,-9.1%
51177020301,51,VA,177,Spotsylvania County,020301,"3,668",183,"4,299",4.3%,13,"4,781",0.3%,729,"2,833",25.7%,3.6%,-9.1%
51177020302,51,VA,177,Spotsylvania County,020302,"3,260",203,"4,465",4.5%,0,"4,338",0.0%,815,"2,942",27.7%,3.6%,-9.1%
51177020303,51,VA,177,Spotsylvania County,020303,"2,834",136,"3,034",4.5%,0,"3,079",0.0%,545,"1,999",27.3%,3.6%,-9.1%
51177020401,51,VA,177,Spotsylvania County,020401,"2,048",71,"1,633",4.3%,0,"2,469",0.0%,282,"1,076",26.2%,3.6%,-9.1%
51177020402,51,VA,177,Spotsylvania County,020402,"3,724",193,"4,718",4.1%,0,"5,399",0.0%,765,"3,109",24.6%,3.6%,-9.1%
51179010103,51,VA,179,Stafford County,010103,967,49,"1,530",3.2%,0,"1,445",0.0%,189,"1,008",18.8%,3.7%,-9.1%
51179010104,51,VA,179,Stafford County,010104,"2,175",118,"3,440",3.4%,0,"3,034",0.0%,455,"2,267",20.1%,3.7%,-9.1%
51179010105,51,VA,179,Stafford County,010105,"1,629",122,"2,680",4.6%,0,"2,130",0.0%,485,"1,766",27.5%,3.7%,-9.1%
51179010106,51,VA,179,Stafford County,010106,616,24,911,2.6%,0,945,0.0%,89,600,14.8%,3.7%,-9.1%
51179010201,51,VA,179,Stafford County,010201,22,0,49,0.0%,0,24,0.0%,0,32,0.0%,3.7%,-9.1%
51179010202,51,VA,179,Stafford County,010202,"1,584",80,"2,272",3.5%,0,"1,956",0.0%,309,"1,497",20.6%,3.7%,-9.1%
51179010204,51,VA,179,Stafford County,010204,"1,266",61,"2,299",2.7%,0,"2,062",0.0%,225,"1,515",14.9%,3.7%,-9.1%
51179010205,51,VA,179,Stafford County,010205,"1,578",109,"2,968",3.7%,0,"2,011",0.0%,424,"1,956",21.7%,3.7%,-9.1%
51179010206,51,VA,179,Stafford County,010206,"1,339",105,"2,316",4.5%,0,"1,659",0.0%,418,"1,526",27.4%,3.7%,-9.1%
51179010207,51,VA,179,Stafford County,010207,"1,779",82,"1,750",4.7%,0,"2,464",0.0%,326,"1,153",28.3%,3.7%,-9.1%
51179010208,51,VA,179,Stafford County,010208,"1,787",86,"2,442",3.5%,0,"1,975",0.0%,332,"1,609",20.6%,3.7%,-9.1%
51179010209,51,VA,179,Stafford County,010209,"2,574",109,"3,194",3.4%,0,"3,018",0.0%,420,"2,105",20.0%,3.7%,-9.1%
51179010210,51,VA,179,Stafford County,010210,835,95,"2,296",4.1%,0,"2,023",0.0%,377,"1,513",24.9%,3.7%,-9.1%
51179010301,51,VA,179,Stafford County,010301,849,45,"1,387",3.2%,0,"1,188",0.0%,172,914,18.8%,3.7%,-9.1%
51179010302,51,VA,179,Stafford County,010302,"2,272",104,"3,072",3.4%,5,"4,330",0.1%,400,"2,024",19.8%,3.7%,-9.1%
51179010303,51,VA,179,Stafford County,010303,"1,639",99,"2,924",3.4%,7,"2,660",0.3%,383,"1,927",19.9%,3.7%,-9.1%
51179010403,51,VA,179,Stafford County,010403,786,46,"1,159",4.0%,0,980,0.0%,181,764,23.7%,3.7%,-9.1%
51179010404,51,VA,179,Stafford County,010404,"1,555",75,"2,088",3.6%,23,"2,078",1.1%,291,"1,376",21.1%,3.7%,-9.1%
51179010405,51,VA,179,Stafford County,010405,"1,443",75,"2,188",3.4%,12,"2,028",0.6%,288,"1,442",20.0%,3.7%,-9.1%
51179010406,51,VA,179,Stafford County,010406,844,43,"1,061",4.1%,10,"1,117",0.9%,168,699,24.0%,3.7%,-9.1%
51179010502,51,VA,179,Stafford County,010502,"1,434",42,"1,232",3.4%,2,"1,589",0.1%,160,812,19.7%,3.7%,-9.1%
51179010503,51,VA,179,Stafford County,010503,587,17,604,2.8%,0,764,0.0%,64,398,16.1%,3.7%,-9.1%
51179010504,51,VA,179,Stafford County,010504,576,14,431,3.2%,0,650,0.0%,55,284,19.4%,3.7%,-9.1%
51181860100,51,VA,181,Surry County,860100,"1,307",18,401,4.5%,0,"1,230",0.0%,84,264,31.8%,4.4%,-0.7%
51181860200,51,VA,181,Surry County,860200,"1,296",16,392,4.1%,0,"1,255",0.0%,78,258,30.2%,4.4%,-0.7%
51183870100,51,VA,183,Sussex County,870100,"1,295",13,211,6.2%,0,"1,206",0.0%,55,139,39.6%,6.0%,-0.4%
51183870200,51,VA,183,Sussex County,870200,838,10,187,5.3%,0,"1,008",0.0%,42,123,34.1%,6.0%,-0.4%
51183870300,51,VA,183,Sussex County,870300,"1,216",19,249,7.6%,0,809,0.0%,83,164,50.6%,6.0%,-0.4%
51183870400,51,VA,183,Sussex County,870400,775,10,164,6.1%,0,394,0.0%,42,108,38.9%,6.0%,-0.4%
51185990100,51,VA,185,Tazewell County,990100,"1,249",2,64,3.1%,0,605,0.0%,11,42,26.2%,5.2%,0.0%
51185990200,51,VA,185,Tazewell County,990200,"2,152",23,528,4.4%,93,"2,047",4.5%,103,348,29.6%,5.2%,0.0%
51185990300,51,VA,185,Tazewell County,990300,"2,828",19,398,4.8%,3,"1,870",0.2%,85,262,32.4%,5.2%,0.0%
51185990400,51,VA,185,Tazewell County,990400,"1,794",15,436,3.4%,42,"1,282",3.3%,67,287,23.3%,5.2%,0.0%
51185990500,51,VA,185,Tazewell County,990500,"1,351",7,188,3.7%,11,"1,164",0.9%,32,124,25.8%,5.2%,0.0%
51185990600,51,VA,185,Tazewell County,990600,"1,645",10,223,4.5%,0,"1,052",0.0%,47,147,32.0%,5.2%,0.0%
51185990700,51,VA,185,Tazewell County,990700,"1,109",18,392,4.6%,29,903,3.2%,81,258,31.4%,5.2%,0.0%
51185990800,51,VA,185,Tazewell County,990800,791,1,53,1.9%,0,973,0.0%,6,35,17.1%,5.2%,0.0%
51185990900,51,VA,185,Tazewell County,990900,"1,026",6,146,4.1%,46,935,4.9%,27,96,28.1%,5.2%,0.0%
51185991000,51,VA,185,Tazewell County,991000,"1,792",21,378,5.6%,215,"2,305",9.3%,93,249,37.3%,5.2%,0.0%
51185991100,51,VA,185,Tazewell County,991100,"2,526",19,531,3.6%,70,"2,732",2.6%,89,350,25.4%,5.2%,0.0%
51187020100,51,VA,187,Warren County,020100,"2,026",147,"3,516",4.2%,1,"2,996",0.0%,552,"2,317",23.8%,4.1%,-9.1%
51187020200,51,VA,187,Warren County,020200,887,16,571,2.8%,0,"1,121",0.0%,56,376,14.9%,4.1%,-9.1%
51187020300,51,VA,187,Warren County,020300,"1,996",77,"1,877",4.1%,0,"2,502",0.0%,288,"1,237",23.3%,4.1%,-9.1%
51187020400,51,VA,187,Warren County,020400,"1,849",56,941,6.0%,169,"2,060",8.2%,222,620,35.8%,4.1%,-9.1%
51187020500,51,VA,187,Warren County,020500,"1,661",52,"1,000",5.2%,162,"1,835",8.8%,203,659,30.8%,4.1%,-9.1%
51187020600,51,VA,187,Warren County,020600,"2,588",95,"2,357",4.0%,14,"3,018",0.5%,356,"1,553",22.9%,4.1%,-9.1%
51187020700,51,VA,187,Warren County,020700,"1,118",30,775,3.9%,0,"1,208",0.0%,112,511,21.9%,4.1%,-9.1%
51191010100,51,VA,191,Washington County,010100,"2,565",24,938,2.6%,0,"2,916",0.0%,104,618,16.8%,5.7%,0.0%
51191010200,51,VA,191,Washington County,010200,"2,058",30,634,4.7%,0,"2,191",0.0%,129,418,30.9%,5.7%,0.0%
51191010300,51,VA,191,Washington County,010300,"2,550",21,640,3.3%,0,"2,695",0.0%,93,422,22.0%,5.7%,0.0%
51191010400,51,VA,191,Washington County,010400,"1,841",12,832,1.4%,0,"2,190",0.0%,51,548,9.3%,5.7%,0.0%
51191010500,51,VA,191,Washington County,010500,"3,178",19,803,2.4%,115,"3,542",3.2%,84,529,15.9%,5.7%,0.0%
51191010600,51,VA,191,Washington County,010600,"2,688",20,724,2.8%,4,"2,127",0.2%,85,477,17.8%,5.7%,0.0%
51191010700,51,VA,191,Washington County,010700,"1,818",17,469,3.6%,3,"1,338",0.2%,73,309,23.6%,5.7%,0.0%
51191010800,51,VA,191,Washington County,010800,"1,233",8,246,3.3%,7,"1,191",0.6%,35,162,21.6%,5.7%,0.0%
51191010900,51,VA,191,Washington County,010900,"1,829",18,467,3.9%,1,"1,526",0.1%,78,308,25.3%,5.7%,0.0%
51191011000,51,VA,191,Washington County,011000,"1,271",12,562,2.1%,0,"1,570",0.0%,52,370,14.1%,5.7%,0.0%
51193990100,51,VA,193,Westmoreland County,990100,"2,232",25,537,4.7%,0,"1,828",0.0%,112,354,31.6%,5.3%,0.0%
51193990200,51,VA,193,Westmoreland County,990200,"1,332",28,578,4.8%,0,"1,292",0.0%,128,381,33.6%,5.3%,0.0%
51193990300,51,VA,193,Westmoreland County,990300,"1,062",24,583,4.1%,0,"1,205",0.0%,110,384,28.6%,5.3%,0.0%
51193990400,51,VA,193,Westmoreland County,990400,"2,239",53,"1,372",3.9%,214,"3,137",6.8%,242,904,26.8%,5.3%,0.0%
51195990700,51,VA,195,Wise County,990700,"1,108",6,140,4.3%,0,475,0.0%,26,92,28.3%,5.7%,0.0%
51195990800,51,VA,195,Wise County,990800,905,10,153,6.5%,0,482,0.0%,45,101,44.6%,5.7%,0.0%
51195990900,51,VA,195,Wise County,990900,"1,802",14,287,4.9%,0,643,0.0%,61,189,32.3%,5.7%,0.0%
51195991000,51,VA,195,Wise County,991000,"1,071",7,129,5.4%,9,689,1.3%,32,85,37.6%,5.7%,0.0%
51195991100,51,VA,195,Wise County,991100,"1,387",12,155,7.7%,82,"1,086",7.6%,52,102,51.0%,5.7%,0.0%
51195991200,51,VA,195,Wise County,991200,"2,274",19,384,4.9%,80,"2,000",4.0%,81,253,32.0%,5.7%,0.0%
51195991300,51,VA,195,Wise County,991300,"1,671",14,305,4.6%,69,"1,413",4.9%,62,201,30.8%,5.7%,0.0%
51195991400,51,VA,195,Wise County,991400,"1,782",9,266,3.4%,18,"1,345",1.3%,39,175,22.3%,5.7%,0.0%
51195991500,51,VA,195,Wise County,991500,"1,855",15,250,6.0%,53,"1,369",3.9%,65,165,39.4%,5.7%,0.0%
51195991600,51,VA,195,Wise County,991600,"1,279",17,244,7.0%,41,767,5.3%,73,161,45.3%,5.7%,0.0%
51195991700,51,VA,195,Wise County,991700,913,7,129,5.4%,6,522,1.1%,32,85,37.6%,5.7%,0.0%
51197990100,51,VA,197,Wythe County,990100,"2,310",21,439,4.8%,107,"2,300",4.7%,88,289,30.4%,6.2%,0.0%
51197990200,51,VA,197,Wythe County,990200,"2,780",20,654,3.1%,26,"2,966",0.9%,81,431,18.8%,6.2%,0.0%
51197990300,51,VA,197,Wythe County,990300,"3,040",30,724,4.1%,32,"2,894",1.1%,124,477,26.0%,6.2%,0.0%
51197990400,51,VA,197,Wythe County,990400,"3,387",32,694,4.6%,6,"3,243",0.2%,132,457,28.9%,6.2%,0.0%
51199000000,51,VA,199,York County,000000,0,#NULL!,#NULL!,"-179,769,313,486,232,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000.0%",#NULL!,#NULL!,"-179,769,313,486,232,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000.0%",#NULL!,#NULL!,"-179,769,313,486,232,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000.0%","-179,769,313,486,232,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000.0%","-179,769,313,486,232,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000.0%"
51199050203,51,VA,199,York County,050203,"1,584",10,"1,416",0.7%,5,"1,903",0.3%,90,933,9.6%,3.4%,-0.7%
51199050204,51,VA,199,York County,050204,"2,034",4,162,2.5%,97,"2,443",4.0%,21,107,19.6%,3.4%,-0.7%
51199050205,51,VA,199,York County,050205,"1,475",7,920,0.8%,12,"1,670",0.7%,60,606,9.9%,3.4%,-0.7%
51199050206,51,VA,199,York County,050206,"1,674",9,"1,461",0.6%,2,"2,370",0.1%,87,963,9.0%,3.4%,-0.7%
51199050301,51,VA,199,York County,050301,"2,613",21,"1,891",1.1%,13,"3,509",0.4%,154,"1,246",12.4%,3.4%,-0.7%
51199050303,51,VA,199,York County,050303,"1,942",12,"1,167",1.0%,1,"2,300",0.0%,90,769,11.7%,3.4%,-0.7%
51199050304,51,VA,199,York County,050304,"1,719",5,"1,228",0.4%,0,"2,056",0.0%,61,809,7.5%,3.4%,-0.7%
51199050401,51,VA,199,York County,050401,"1,154",3,639,0.5%,0,"1,235",0.0%,36,421,8.6%,3.4%,-0.7%
51199050402,51,VA,199,York County,050402,"1,280",5,810,0.6%,0,"1,306",0.0%,47,534,8.8%,3.4%,-0.7%
51199050500,51,VA,199,York County,050500,861,12,287,4.2%,1,848,0.1%,61,189,32.3%,3.4%,-0.7%
51199050600,51,VA,199,York County,050600,133,0,23,0.0%,0,102,0.0%,1,15,6.7%,3.4%,-0.7%
51199050700,51,VA,199,York County,050700,"2,299",44,"1,695",2.6%,24,"2,825",0.8%,250,"1,117",22.4%,3.4%,-0.7%
51199050800,51,VA,199,York County,050800,"1,146",7,715,1.0%,2,"1,395",0.1%,54,471,11.5%,3.4%,-0.7%
51510200101,51,VA,510,Alexandria city,200101,"4,066",40,"3,102",1.3%,158,"5,751",2.7%,155,"2,044",7.6%,2.9%,-9.1%
51510200102,51,VA,510,Alexandria city,200102,"1,695",10,405,2.5%,24,"1,796",1.3%,41,267,15.4%,2.9%,-9.1%
51510200103,51,VA,510,Alexandria city,200103,"2,872",80,"1,999",4.0%,36,"2,942",1.2%,340,"1,317",25.8%,2.9%,-9.1%
51510200104,51,VA,510,Alexandria city,200104,"1,347",0,2,0.0%,56,"3,395",1.6%,0,1,0.0%,2.9%,-9.1%
