PRECINCT,BEAT,REPORTING AREA,TOTAL,AGGRAVATED ASSAULT,ALL OTHER OFFENSES,ANNOYING PHONE CALLS,ARSON,BAD CHECKS,BURGLARY/B & E,CPS REFERRAL,CURFEW,DAMAGE PROPERTY,DECEASED PERSON,DISORDERLY CONDUCT,DRIVING UNDER THE INFLUENCE,DRUG EQUIPMENT - POSSESS,DRUG/NARCOTICS OFFENSES,DRUNKENNESS,EMBEZZLE,EXTORT,FORCIBLE FONDLING,FORCIBLE SODOMY,FORGERY/COUNTERFEITING,FRAUD - IMPERSONATE,FRAUD BY WIRE,FRAUD/FALSE PRETENSES/SWINDLE,FRAUD-ILLEGAL USE CREDIT CARD/ATM,HABITUAL TRAFFIC OFFENDER,HIT AND RUN,HOMICIDE/MURDER,INCEST WITH MINOR,INDECENT EXPOSURE,INTIMIDATION,JUVENILE - RUNAWAY,KIDNAP/ABDUCTION,LARCENY,LEAVING THE SCENE,LIQUOR LAW VIOLATIONS,MISSING PERSON,NEGLECT CHILD,OBSCENE MATERIAL/PORNOGRAPHY,OVERDOSE,PEEPING TOM,POCKET PICKING,PROSTITUTION,PURSE SNATCHING - NO FORCE,ROBBERY,"SEX ASSAULT, RAPE",SEXUAL ASSAULT W/AN OBJECT,SHOPLIFTING,SIMPLE ASSAULT,STOLEN PROPERTY OFFENSES,SUICIDE,TAMPERING WITH AUTO,THEFT FROM BUILDING,THEFT FROM COIN OPERATED MACHINE,THEFT FROM VEHICLE,THEFT PARTS FROM VEHICLE,TOBACCO VIOLATION,TRESPASSING,TRUANCY - REGULAR PATROL,UNAUTHORIZED USE OF VEHICLE,VEHICLE THEFT,WEAPON OFFENSE
CENTRAL,21,195,19,,1,,,,1,,,1,,,,,1,,,,1,,1,,,,,,,,,,1,,,2,6,,,,,,,,1,,1,,,,,,1,,,,,,,,,,,1
CENTRAL,21,196,36,,,1,,,3,,,3,,,,,1,,,,,,,7,,1,,1,,,,,1,,,3,,,1,,,,,,,,2,,,3,2,,,,1,,1,3,,,,,1,1
CENTRAL,21,197,33,1,,2,,,,,,4,,,,,5,,1,,,,,,1,1,,,1,,,,1,1,,,2,,,,,,,,,,1,,,,6,,,,,,2,1,,,,,,3
CENTRAL,21,20,5,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,1,,,,,,,,,
CENTRAL,21,21,16,,,,,,2,,,1,,,,,,,,,,,,4,,1,1,,1,,,,,,,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1
CENTRAL,21,22,39,,,1,1,,1,1,,4,,,,,2,,,,,,1,,,1,,,,1,,,,,,3,1,,,,,1,,,,,1,,,,5,,,7,1,,4,2,,,,,,1
CENTRAL,21,24,17,,,,,,,,,2,,,,,2,,,,,,,1,,,,,,,,,,,,3,2,,,,,,,,,,,,,,1,,,,6,,,,,,,,,
CENTRAL,22,23,6,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,1,,,,,,,,1,,,,,,,,,1
CENTRAL,22,25,28,,,,,,,1,,,,,,,2,,,,1,,2,2,,,,,,,,,1,,,,5,,1,,,1,,,,,,,,,9,,,,3,,,,,,,,,
CENTRAL,22,26,3,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
CENTRAL,22,27,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,
CENTRAL,22,28,6,,,,,,,,,1,,,,,2,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,
CENTRAL,22,29,3,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
CENTRAL,22,30,3,,,,,,,1,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CENTRAL,22,31,5,,,,,,,,,1,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
CENTRAL,22,33,5,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,
CENTRAL,22,34,33,,,1,,,,,,3,,,,,1,,,,,,1,,,,,,1,,,,,,,4,7,,1,,,,,,,,1,,,6,2,,,1,2,,,,,1,,,1,
CENTRAL,22,35,3,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,
CENTRAL,22,37,6,1,,,,,1,,,1,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
CENTRAL,22,38,9,,,,,,,,,1,,,,,,,,,,,,7,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CENTRAL,22,39,2,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
