Date,Offense,Street,Sub,Zip,Area
11/10/2003,AGGRAVATED SEXUAL BATTERY,LUTHER DRIVE,20,23185,300
5/28/2003,"BURGLARY, RESIDENTIAL",LUTHER DRIVE,20,23185,300
5/21/2003,CITIZEN REQUESTED ASSISTANCE,LUTHER DRIVE,20,23185,300
11/10/2003,CONTRIBUTING TO THE DELINQUENCY OF A MINOR,LUTHER DRIVE,20,23185,300
5/28/2003,"DAMAGE PROPERTY, PRIVATE",LUTHER DRIVE,20,23185,300
5/28/2003,GRAND LARCENY,LUTHER DRIVE,20,23185,300
11/24/2003,GRAND LARCENY,MARBLE RUN,34,23185,300
1/31/2003,LOST PROPERTY,MARSHALL WAY,227,23185,300
4/5/2003,"ASSAULT, SIMPLE, DOMESTIC",MAYNOR DRIVE,244,23185,300
5/23/2003,CITIZEN REQUESTED ASSISTANCE,MAYNOR DRIVE,244,23185,300
5/27/2003,"DAMAGE PROPERTY, PRIVATE",MAYNOR DRIVE,244,23185,300
4/8/2003,ELUDING POLICE,MAYNOR DRIVE & WILKINS DRIVE,244,23185,300
4/8/2003,UNAUTHORIZED USE OF VEHICLE,MAYNOR DRIVE & WILKINS DRIVE,244,23185,300
8/22/2003,"DAMAGE PROPERTY, PRIVATE",MCLAWS CIRCLE,118,23185,300
12/9/2003,CARRYING CONCEALED WEAPON -1ST OFFENSE,MERIMAC TRAIL,228,23185,300
12/16/2003,CITIZEN REQUESTED ASSISTANCE,MERIMAC TRAIL,228,23185,300
4/24/2003,"DAMAGE PROPERTY, PRIVATE",MERIMAC TRAIL,228,23185,300
9/26/2003,DRIVING UNDER THE INFLUENCE OF ALCOHOL,MERIMAC TRAIL,228,23185,300
12/9/2003,DRIVING UNDER THE INFLUENCE OF ALCOHOL,MERIMAC TRAIL,228,23185,300
12/10/2003,DRIVING UNDER THE INFLUENCE OF ALCOHOL,MERIMAC TRAIL,228,23185,300
9/26/2003,DRIVING W/SUSPENDED OR REVOKED LICENSE,MERIMAC TRAIL,228,23185,300
8/15/2003,GRAND LARCENY,MERIMAC TRAIL,228,23185,300
12/10/2003,OPERATE MOTOR VEHICLE -HABITUAL OFFENDER,MERIMAC TRAIL,228,23185,300
8/15/2003,PETIT LARCENY,MERIMAC TRAIL,228,23185,300
